"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Consell Tributari Municipal (Barcelona) | Font Llovet, Tomàs","","Barcelona | Barcelona | Barcelona","","","2019-03-26","2019","","","Discurs del president del Consell Tributari en la Conferència de 30 anys del Consell Tributari de Barcelona de 26-03-2019 | Podeu consultar la monografia 30 anys del Consell Tributari de Barcelona 1988 - 2018 [versió en català i castellà] a: http://hdl.handle.net/11703/113497","","","","","","","","application/pdf","13 p.","","","","consells","","","http://hdl.handle.net/11703/114029","cat","","http://hdl.handle.net/11703/113497","","","","","","","","","","","","","","","","CC-BY","openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Arbitratge i laude | Arbitraje | Arbitration and award | Impostos locals | Impuestos locales | Local taxation","Hisenda","conferències i discursos","","30 anys del Consell Tributari de Barcelona","","text",
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2018","2018-03-07","","","Ponència presentada per Albert Solé Benito amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","23 p.","","","","","","","http://hdl.handle.net/11703/111358","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Albert Solé Benito","http://creativecommons.org/licenses/by/4.0/deed.ca","","Recursos administratius | Contractes administratius | Administrative remedies | Public contracts | Recursos administrativos | Contratos administrativos","Legislació i justícia | Sector públic","conferències i ponències","","El recurs especial en matèria de contractació : novetats de la Llei 9/2017","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Gerència de Recursos | Intervenció general | Direcció de Coordinació Econòmica (Intervenció General) | Torres Morales, Carme","","","","","2018-03-07","2018-03-07","","","Ponència presentada per Carme Torres amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","14 p.","","","","","","","http://hdl.handle.net/11703/111507","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Carme Torres Morales","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les modificacions contractuals i les pròrrogues en la nova LCSP","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Gerència de Recursos | Direcció de Serveis Jurídics","","","","","2018-03-07","2018-03-07","","","","","","","","","","","application/pdf","19 p.","","","","","","","http://hdl.handle.net/11703/111591","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Núria Gilabert Busquets","http://creativecommons.org/licenses/by/4.0/deed.ca","","","Sector públic","","","Tipus de contracte. Novetats en relació amb la gestió dels serveis públics i referència especial al contracte de serveis a les persones","","",
"","","Gerència de Presidència i Economia | Direcció d'Empreses, Entitats Municipals i Recursos | Pascual Oliva, Angel","","","","","2018","2018-03-07","","","Ponència presentada per Angel Pascual Oliva amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","4 p.","","","","","","","http://hdl.handle.net/11703/111360","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Angel Pascual Oliva","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les clàusules socials i mediambientals. Condicions laborals i subrogació. Llei 9 /2017 i Decret de contractació sostenible","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text",
"","","Servei de Documentació i Accés al Coneixement | Ràfales Caelles, Marta | Batlló Colominas, Roser | Hermosilla Pinto, Noelia | Plaza Mateo, Sara","","Barcelona | Barcelona | Barcelona","","","2017-10","2017-12","","","","","","","","","","","application/pdf","17 p.","","","Ràfales Caelles, Marta; Batlló Colominas, Roser; Hermosilla Pinto, Noelia; Plaza Mateo, Sara. L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona. A: ‘Ítem: revista de biblioteconomia i documentació’, Barcelona: Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya, 2017, núm. 63, p. 103-119. ISSN 0214-0349","","","","http://hdl.handle.net/11703/109151","cat","","","","","","","","","","","","","","https://www.raco.cat/index.php/Item/article/view/337005/427875","","","","CC-BY","openAccess","","Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","","Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Accés obert | Dipòsits institucionals | Documents electrònics | Recuperació de la informació | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Open access publishing | Institutional repositories | Electronic records | Metadata | Information retrieval | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Acceso libre | Depósitos institucionales | Documentos electrónicos | Metadatos | Recuperación de la información","Sector públic","articles","","L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona","","text",
"","","Gerència d'Ecologia Urbana | Direcció de Model Urbà | Salvadó, Ton","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Ton Salvadó amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","57 p.","","","","","","","http://hdl.handle.net/11703/114948","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Zones de vianants | Zonas peatonales | Pedestrian zones | Avaluació | Evaluación | Evaluation","Societat i benestar | Urbanisme i infraestructures","articles","","Programa Superilles","","text",
"","","Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2016-11","2016-12-01","","","Ponència d'Albert Solé , director de Serveis Jurídics de l'Ajuntament de Barcelona, amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","7 p.","","","","","","","http://hdl.handle.net/11703/100151","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Serveis municipals | Municipalització | Escoles bressol | Punts d'Informació i Atenció a les Dones (PIADs) | Municipal services | Corporatization | Kindergarten | Punts d'Informació i Atenció a les Dones (PIADs) | Servicios municipales | Municipalización | Guarderías | Punts d'Informació i Atenció a les Dones (PIADs)","Sector públic","conferències i ponències","","La Reinternalització de serveis bàsics","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text",
"","","Consell de les Dones de Barcelona","","Barcelona | Barcelona | Barcelona","1999","","1999-01","1999-01","","","Presentació al Plenari de l'Ajuntament de Barcelona de gener de 1999","","","","","","","","application/pdf","36 p.","","","","consells","","","http://hdl.handle.net/11703/105107","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Participació ciutadana | Espais públics | Women | Citizen participation | Public spaces | Mujeres | Participación ciudadana | Espacios públicos","Societat i benestar","conferències i ponències","","Propostes globals","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text",
"","","Servei de Documentació i Accés al Coneixement | Ràfales Caelles, Marta","","Barcelona | Barcelona | Barcelona","","","2018-05","2018-05-22","","","Ponència de la Sra. Marta Ràfales, Cap del Servei de Documentació i Accés al Coneixement (SEDAC), a la Gerència d'Ecologia Urbana de l'Ajuntament de Barcelona el 22-05-2018","","","","","","","","application/pdf","13 p.","","","","","","","http://hdl.handle.net/11703/109232","cat","","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Accés obert | Dipòsits institucionals | Transparència política | Documents públics | Drets d'autor | Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Open access publishing | Institutional repositories | Transparency in government | Public records | Copyright | Servei de Documentació i Accés al Coneixement | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Acceso libre | Depósitos institucionales | Transparencia política | Documentos públicos | Derechos de autor","Sector públic | Cultura i oci","conferències i ponències","","BCNROC : un repositori d'Accés Obert per contribuir a la participació i a la transparència municipal","","text",
