unit,age,sex,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,TOTAL,F,ED0,AT	148592 	145862 	142867 	136544 	133104 	: 
NR,TOTAL,F,ED0,BE	222236 	224351 	224855 	225519 	222723 	: 
NR,TOTAL,F,ED0,BG	108189 	112067 	116644 	116675 	113762 	: 
NR,TOTAL,F,ED0,CH	83642 	83676 	81552 	79858 	76270 	: 
NR,TOTAL,F,ED0,CY	15254 	14733 	14469 	11163 	11056 	: 
NR,TOTAL,F,ED0,CZ	175894 	178304 	178234 	176635 	172195 	: 
NR,TOTAL,F,ED0,DE	1533257 	1499471 	1462794 	1441677 	1399210 	: 
NR,TOTAL,F,ED0,DK	134687 	137656 	141703 	146392 	147649 	: 
NR,TOTAL,F,ED0,EE	32830 	33122 	33293 	33275 	32493 	: 
NR,TOTAL,F,ED0,EL	: 	107055 e	110728 e	152856 e	105661 e	: 
NR,TOTAL,F,ED0,ES	861937 	875499 	890134 	911643 	925778 	: 
NR,TOTAL,F,ED0,EU28	: 	8519015 	8456512 	8293900 	8160186 	: 
NR,TOTAL,F,ED0,FI	126071 	126701 	120086 	119629 	119373 	: 
NR,TOTAL,F,ED0,FR	1252548 	1264518 	1269659 	1262322 	1250848 	: 
NR,TOTAL,F,ED0,HR	69216 	63966 	63666 	62786 	61348 	: 
NR,TOTAL,F,ED0,HU	154148 	155480 	155965 	159362 	: 	: 
NR,TOTAL,F,ED0,IE	62118 	40016 	34998 	38302 	38302 	: 
NR,TOTAL,F,ED0,IS	9395 	9575 	9818 	9618 	9521 	: 
NR,TOTAL,F,ED0,IT	736433 	765202 	784022 	797906 	811460 	: 
NR,TOTAL,F,ED0,LI	: 	373 	: 	: 	: 	: 
NR,TOTAL,F,ED0,LT	61342 	60872 	59455 	57490 	54903 	: 
NR,TOTAL,F,ED0,LU	8285 	8232 	8085 	8120 	8059 	: 
NR,TOTAL,F,ED0,LV	45372 	: 	: 	: 	: 	: 
NR,TOTAL,F,ED0,ME	9061 	7851 	7978 	: 	: 	: 
NR,TOTAL,F,ED0,MK	17218 	16796 	14617 	14345 	13081 	: 
NR,TOTAL,F,ED0,MT	4402 	4541 	4460 	4351 	4299 	: 
NR,TOTAL,F,ED0,NL	245588 	249089 	251439 	249952 	254467 	: 
NR,TOTAL,F,ED0,NO	137651 	137834 	139484 	139854 	139337 	: 
NR,TOTAL,F,ED0,PL	628242 	546070 	596429 	629390 	590564 	: 
NR,TOTAL,F,ED0,PT	123061 	126088 	128662 e	128076 	127737 	: 
NR,TOTAL,F,ED0,RO	262833 	269041 	281074 	277057 	283687 	: 
NR,TOTAL,F,ED0,RS	99930 	96679 	92284 	91781 	91501 	: 
NR,TOTAL,F,ED0,SE	302181 	295697 	290531 	290521 	285860 	: 
NR,TOTAL,F,ED0,SI	41612 	40903 	40830 	40257 	40031 	: 
NR,TOTAL,F,ED0,SK	79897 	79327 	78219 	76550 	74648 	: 
NR,TOTAL,F,ED0,TR	637771 	581565 	550423 	506492 	: 	: 
NR,TOTAL,F,ED0,UK	1067610 	1095153 	973210 	778933 	726513 	: 
NR,TOTAL,F,ED1,AT	162464 	159729 	159037 	159122 	158752 	: 
NR,TOTAL,F,ED1,BE	398284 	389706 	382465 	378256 	373810 	: 
NR,TOTAL,F,ED1,BG	128205 	126622 	126472 	125127 	122505 	: 
NR,TOTAL,F,ED1,CH	246479 	241833 	238297 	235325 	234711 	: 
NR,TOTAL,F,ED1,CY	27243 	26618 	26159 	25806 	26287 	: 
NR,TOTAL,F,ED1,CZ	281195 	272137 	260897 	248574 	239441 	: 
NR,TOTAL,F,ED1,DE	1434519 	1406202 	1398205 	1389518 	1402752 	1428630 
NR,TOTAL,F,ED1,DK	229104 	228548 	227158 	227092 	228312 	: 
NR,TOTAL,F,ED1,EE	41543 	40250 	38720 	37485 	36739 	: 
NR,TOTAL,F,ED1,EL	315037 	313494 	312062 	305027 	307125 	: 
NR,TOTAL,F,ED1,ES	1484178 	1477098 	1469879 	1445420 	1432521 	: 
NR,TOTAL,F,ED1,EU28	: 	14190266 	14003559 	13766906 	13796326 	: 
NR,TOTAL,F,ED1,FI	177532 	175535 	173247 	171667 	169709 	: 
NR,TOTAL,F,ED1,FR	2100142 	2086475 	2073517 	2041392 	2033395 	: 
NR,TOTAL,F,ED1,HR	79447 	79303 	79019 	78059 	78056 	: 
NR,TOTAL,F,ED1,HU	189934 	191780 	192041 	190272 	186428 	: 
NR,TOTAL,F,ED1,IE	272804 	269716 	265627 	261632 	257270 	: 
NR,TOTAL,F,ED1,IS	15537 	15204 	14894 	14617 	14510 	: 
NR,TOTAL,F,ED1,IT	1386624 	1373596 	1382597 	1385795 	1385684 	: 
NR,TOTAL,F,ED1,LI	933 	949 	960 	960 	948 	: 
NR,TOTAL,F,ED1,LT	55614 	53817 	52860 	52778 	53021 	: 
NR,TOTAL,F,ED1,LU	18292 	17863 	17479 	17221 	17116 	: 
NR,TOTAL,F,ED1,LV	59418 	58626 	57121 	55825 	55448 	: 
NR,TOTAL,F,ED1,ME	18443 	17886 	17897 	: 	: 	: 
NR,TOTAL,F,ED1,MK	52717 	51102 	52830 	52311 	53223 	: 
NR,TOTAL,F,ED1,MT	12439 	12291 	12019 	11769 	11529 	: 
NR,TOTAL,F,ED1,NL	574686 	579676 	587304 	594671 	608276 	: 
NR,TOTAL,F,ED1,NO	216793 	213971 	210456 	208342 	207838 	: 
NR,TOTAL,F,ED1,PL	1118661 	1213613 	1127190 	1049221 	1053485 	: 
NR,TOTAL,F,ED1,PT	303025 	306435 	314397 	321820 	332052 	: 
NR,TOTAL,F,ED1,RO	448141 	453884 	457291 	456290 	449418 	: 
NR,TOTAL,F,ED1,RS	129531 	131560 	134854 	139591 	140967 	: 
NR,TOTAL,F,ED1,SE	421658 	407600 	393545 	378759 	367370 	: 
NR,TOTAL,F,ED1,SI	60195 	58165 	56214 	54212 	53063 	: 
NR,TOTAL,F,ED1,SK	109699 	106656 	105082 	103780 	102364 	: 
NR,TOTAL,F,ED1,TR	2421515 	2617009 	2652739 	2724844 	2731180 	: 
NR,TOTAL,F,ED1,UK	2351953 	2304831 	2255955 	2200316 	2254398 	: 
NR,TOTAL,F,ED2,AT	164612 	163390 	162235 	162293 	163955 	: 
NR,TOTAL,F,ED2,BE	211287 	211287 	224180 	218251 	217448 	: 
NR,TOTAL,F,ED2,BG	106174 	104938 	105812 	108644 	110935 	: 
NR,TOTAL,F,ED2,CH	124416 	124959 	126865 	128853 	130552 	: 
NR,TOTAL,F,ED2,CY	12905 	12867 	13132 	13601 	14002 	: 
NR,TOTAL,F,ED2,CZ	187540 	182582 	180039 	178366 	177447 	: 
NR,TOTAL,F,ED2,DE	2151090 	2163235 	2187095 	2227797 	2275899 	2304520 
NR,TOTAL,F,ED2,DK	115803 	117012 	118223 	118322 	119148 	: 
NR,TOTAL,F,ED2,EE	18717 	18366 	17759 	17476 	17502 	: 
NR,TOTAL,F,ED2,EL	154560 	153461 	153260 	150163 	154655 	: 
NR,TOTAL,F,ED2,ES	785246 	775826 	774543 	780842 	795334 	: 
NR,TOTAL,F,ED2,EU28	: 	: 	9941595 	10009939 	10133505 	: 
NR,TOTAL,F,ED2,FI	86877 	86232 	86951 	87327 	88832 	: 
NR,TOTAL,F,ED2,FR	1632562 	1635755 	1644857 	1630330 	1621761 	: 
NR,TOTAL,F,ED2,HR	86925 	87276 	88740 	91335 	94314 	: 
NR,TOTAL,F,ED2,HU	184987 	184849 	186026 	186534 	187867 	: 
NR,TOTAL,F,ED2,IE	99678 	94588 	92805 	91500 	92179 	: 
NR,TOTAL,F,ED2,IS	6201 	6187 	6286 	6343 	6275 	: 
NR,TOTAL,F,ED2,IT	844789 	847446 	848846 	859065 	867488 	: 
NR,TOTAL,F,ED2,LI	735 	732 	746 	800 	816 	: 
NR,TOTAL,F,ED2,LT	80762 	83716 	86840 	90694 	96602 	: 
NR,TOTAL,F,ED2,LU	10491 	10473 	10607 	10752 	10688 	: 
NR,TOTAL,F,ED2,LV	27190 	27233 	26758 	26367 	26289 	: 
NR,TOTAL,F,ED2,ME	14180 	14613 	15014 	: 	: 	: 
NR,TOTAL,F,ED2,MK	41055 	39225 	40910 	40526 	41911 	: 
NR,TOTAL,F,ED2,MT	6179 	6076 	6090 	6210 	6460 	: 
NR,TOTAL,F,ED2,NL	388287 	389600 	390773 	382514 	378707 	: 
NR,TOTAL,F,ED2,NO	94018 	90575 	91836 	92182 	92663 	: 
NR,TOTAL,F,ED2,PL	522473 	526536 	535134 	549575 	567628 	: 
NR,TOTAL,F,ED2,PT	177968 	180007 	184983 	185055 	193380 	: 
NR,TOTAL,F,ED2,RO	369793 	371818 	377838 	388171 	391303 	: 
NR,TOTAL,F,ED2,RS	136683 	138560 	138882 	136066 	135959 	: 
NR,TOTAL,F,ED2,SE	179312 	172337 	165881 	161274 	159615 	: 
NR,TOTAL,F,ED2,SI	26247 	25878 	26412 	26298 	26292 	: 
NR,TOTAL,F,ED2,SK	122088 	121861 	122880 	124482 	125272 	: 
NR,TOTAL,F,ED2,TR	2726593 	2576094 	2607989 	2715804 	2751452 	: 
NR,TOTAL,F,ED2,UK	1266645 	: 	1122897 	1136702 	1152503 	: 
NR,TOTAL,F,ED3,AT	162966 	164856 	168416 	170998 	174237 	: 
NR,TOTAL,F,ED3,BE	402069 	407236 	410715 	412298 	412018 	: 
NR,TOTAL,F,ED3,BG	125947 	127511 	133329 	138604 	135276 	: 
NR,TOTAL,F,ED3,CH	165881 	166310 	167063 	166073 	165791 	: 
NR,TOTAL,F,ED3,CY	14015 	14286 	14800 	15086 	15687 	: 
NR,TOTAL,F,ED3,CZ	189960 	191580 	196728 	202803 	213960 	: 
NR,TOTAL,F,ED3,DE	1134017 	1169644 	1176774 	1182724 	1181121 	1207048 
NR,TOTAL,F,ED3,DK	145748 	149440 	156689 	156362 	154451 	: 
NR,TOTAL,F,ED3,EE	22040 	20802 	20047 	20276 	21604 	: 
NR,TOTAL,F,ED3,EL	162809 	160613 	159950 	167325 	178705 	: 
NR,TOTAL,F,ED3,ES	847456 	847098 	834304 	822296 	812254 	: 
NR,TOTAL,F,ED3,EU28	: 	10826457 	10712100 	10815545 	10883826 	: 
NR,TOTAL,F,ED3,FI	191224 	190199 	189709 	187714 	188323 	: 
NR,TOTAL,F,ED3,FR	1332819 	1313078 	1289688 	1292751 	1281044 d	: 
NR,TOTAL,F,ED3,HR	82545 	86510 	90860 	92410 	93603 	: 
NR,TOTAL,F,ED3,HU	207741 	206413 	217045 	231995 	246930 	: 
NR,TOTAL,F,ED3,IE	90904 	83612 	82679 	80213 	76793 	: 
NR,TOTAL,F,ED3,IS	11009 	11322 	11809 	12312 	12747 	: 
NR,TOTAL,F,ED3,IT	1364533 	1364940 	1366340 	1353007 	1346367 	: 
NR,TOTAL,F,ED3,LI	717 	711 	731 	717 	708 	: 
NR,TOTAL,F,ED3,LT	34655 	35432 	38381 	41226 	43306 	: 
NR,TOTAL,F,ED3,LU	13205 	13120 	12714 	12322 	12115 	: 
NR,TOTAL,F,ED3,LV	29818 	29222 	30072 	31877 	34336 	: 
NR,TOTAL,F,ED3,ME	13504 	13627 	14182 	: 	: 	: 
NR,TOTAL,F,ED3,MK	36038 	38405 	40453 	41272 	43059 	: 
NR,TOTAL,F,ED3,MT	8794 	9498 	9911 	9823 	9706 	: 
NR,TOTAL,F,ED3,NL	420663 	401387 	401415 	355739 	358078 	: 
NR,TOTAL,F,ED3,NO	119028 	118815 	116962 	117245 	118587 	: 
NR,TOTAL,F,ED3,PL	634883 	655756 	685592 	714299 	762503 	: 
NR,TOTAL,F,ED3,PT	196527 	192368 	193796 	190353 	197782 	: 
NR,TOTAL,F,ED3,RO	361260 	363030 	380893 	391257 	412372 	: 
NR,TOTAL,F,ED3,RS	124007 	126259 	130065 	134887 	140358 	: 
NR,TOTAL,F,ED3,SE	279261 	265093 	269915 	265315 	273678 	: 
NR,TOTAL,F,ED3,SI	46051 	46863 	43084 	44031 	45261 	: 
NR,TOTAL,F,ED3,SK	94447 	97105 	99570 	103461 	111493 	: 
NR,TOTAL,F,ED3,TR	2723948 	2760501 	2702143 	2560696 	2352209 	: 
NR,TOTAL,F,ED3,UK	1901431 	2219766 	2038684 	2128980 	2090824 	: 
NR,TOTAL,F,ED4,AT	15268 	15756 	15949 	15970 	15805 	: 
NR,TOTAL,F,ED4,BE	32726 	34219 	33630 	35280 	34468 	: 
NR,TOTAL,F,ED4,BG	597 	598 	743 	1017 	1180 	: 
NR,TOTAL,F,ED4,CH	7977 	8091 	8459 	8389 	8331 	: 
NR,TOTAL,F,ED4,CY	61 	79 	67 	40 	18 	: 
NR,TOTAL,F,ED4,CZ	34640 	38344 	43364 d	41662 	38339 	: 
NR,TOTAL,F,ED4,DE	432506 	420660 	438650 	439985 	473649 	261728 
NR,TOTAL,F,ED4,DK	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,EE	4009 	4947 	6280 	6792 	6632 	: 
NR,TOTAL,F,ED4,EL	43072 	36993 	30571 	9329 	7745 	: 
NR,TOTAL,F,ED4,ES	14047 	14049 	16234 	0 d	: 	: 
NR,TOTAL,F,ED4,EU28	: 	959311 	991926 	955752 	: 	: 
NR,TOTAL,F,ED4,FI	14271 	13141 	12271 	12227 	12529 	: 
NR,TOTAL,F,ED4,FR	22357 	22512 	21855 	21539 	22707 d	: 
NR,TOTAL,F,ED4,HR	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,HU	43864 	39171 	40973 	41349 	40214 	: 
NR,TOTAL,F,ED4,IE	26583 	39380 	38991 	31755 	28797 	: 
NR,TOTAL,F,ED4,IS	323 	316 	293 	291 	266 	: 
NR,TOTAL,F,ED4,IT	: 	667 	667 	3896 	3883 	: 
NR,TOTAL,F,ED4,LI	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,LT	11997 	11055 	10494 	9338 	8224 	: 
NR,TOTAL,F,ED4,LU	129 	152 	146 	137 	194 	: 
NR,TOTAL,F,ED4,LV	3030 	2701 	2705 	2416 	2002 	: 
NR,TOTAL,F,ED4,ME	: z	: z	: 	: 	: 	: 
NR,TOTAL,F,ED4,MK	112 	39 	33 	30 	44 	: 
NR,TOTAL,F,ED4,MT	41 	64 	94 	43 	34 	: 
NR,TOTAL,F,ED4,NL	: z	: z	: z	119 	517 	: 
NR,TOTAL,F,ED4,NO	4721 	4335 	4502 	4125 	3724 	: 
NR,TOTAL,F,ED4,PL	175459 	180313 	184732 	189580 	216564 	: 
NR,TOTAL,F,ED4,PT	1593 	1980 	4273 	3952 	3429 	: 
NR,TOTAL,F,ED4,RO	62816 	65560 	69556 	68516 	63672 	: 
NR,TOTAL,F,ED4,RS	237 	258 	391 	261 	295 	: 
NR,TOTAL,F,ED4,SE	13701 	9690 	12178 	12949 	12723 	: 
NR,TOTAL,F,ED4,SI	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,SK	7354 	7280 	7503 	7861 	8745 	: 
NR,TOTAL,F,ED4,TR	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED4,UK	: zd	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,AT	40562 	41271 	41849 	41624 	41240 	: 
NR,TOTAL,F,ED5,BE	14696 	15351 	15425 	15467 	14956 	: 
NR,TOTAL,F,ED5,BG	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,CH	2639 	2755 	6125 	5706 	6282 	: 
NR,TOTAL,F,ED5,CY	1462 	1454 	1594 	1673 	1889 	: 
NR,TOTAL,F,ED5,CZ	634 	597 	577 	605 	628 	: 
NR,TOTAL,F,ED5,DE	218 	215 	293 	362 	441 	: 
NR,TOTAL,F,ED5,DK	16695 	16316 	17236 	16814 	15459 	: 
NR,TOTAL,F,ED5,EE	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,EL	: z	: z	: z	: z	: z	: 
NR,TOTAL,F,ED5,ES	187230 	177052 	179404 	177578 	171893 	: 
NR,TOTAL,F,ED5,EU28	: 	733641 	728710 	741652 	787241 	: 
NR,TOTAL,F,ED5,FI	: z	: z	: z	5 	13 	: 
NR,TOTAL,F,ED5,FR	244610 	243182 	244805 	249800 	253337 d	: 
